Attack1010Repeat1.txt,radius,activeArcs_record,C0a,Yoptimal_record,x,y
,,146,5.81592,0.0494548,23.03,2.475
,,147,6.28093,0.0149216,23.24,2.375
,,148,1.34272,0,20.895,39.5
,,149,5.78468,0.122673,23.31,39.325
,,150,9.60208,0,23.31,36.15
,,151,1.34272,0,20.895,39.5
,,152,9.49371,0,21.735,34.225
,,153,4.84266,0.0868982,23.695,38.775
,,154,8.25947,0.0645426,23.695,35.6
,,155,8.74877,0.0572897,23.765,35.35
,,156,9.49371,0,21.735,34.225
,,157,3.45639,0,22.295,27.775
,,158,4.78841,0.0356012,24.15,30.875
,,159,4.64178,0.043009,24.22,30.625
,,160,4.50401,0,24.22,30.475
,,161,3.45639,0,22.295,27.775
,,162,5.31662,0,22.61,23.4
,,163,6.87841,0,24.325,28.9
,,164,6.63193,0,24.325,28.75
,,165,5.09204,0.15557,24.36,27.675
,,166,5.31662,0,22.61,23.4
,,167,6.00653,0,22.96,17.75
,,168,11.2363,0.0337748,24.535,26.1
,,169,9.23864,0.0124616,24.57,25.025
,,170,5.87804,0.0905203,25.235,22.425
,,171,6.00653,0,22.96,17.75
,,172,9.81599,0,23.38,9.85
,,173,14.902,0,24.71,22.025
,,174,10.3983,0.0214498,25.375,19.425
,,175,9.74977,0.0596121,27.055,17.6
,,176,9.81599,0,23.38,9.85
,,177,2.73247,0,23.87,3.6
,,178,19.5613,0.0286377,25.655,14.525
,,179,17.1544,0,27.335,12.7
,,180,15.6757,0.0307005,28.455,11.15
,,181,2.73247,0,23.87,3.6
,,182,1.86938,0,24.885,1.775
,,183,19.4747,0.0215921,27.545,11.35
,,184,17.6663,0.0175831,28.665,9.8
,,185,12.7625,0.00317272,28.84,6.5
,,186,1.86938,0,24.885,1.775
,,187,0.465188,0,25.9,1.2
,,188,17.7414,0.00758479,29.47,9.325
,,189,12.3236,0.0380691,29.645,6.025
,,190,9.75531,0.0501911,29.785,3.95
,,191,0.465188,0,25.9,1.2
,,192,12.2157,0.00471129,29.855,5.925
,,193,9.51961,0.0143547,29.995,3.85
,,194,6.35,0,26.11,35.425
,,195,13.2307,0.136216,30.135,43.85
,,196,12.2688,0.0733551,30.485,42.9
,,197,6.35,0,26.11,35.425
,,198,0.51923,0,26.18,32
,,199,18.6742,0,30.135,40.675
,,200,17.3224,0.0241633,30.485,39.725
,,201,15.0017,0.0759805,31.29,37.675
,,202,0.51923,0,26.18,32
,,203,0.3,0,26.25,31.6
,,204,17.6871,0.045834,30.555,39.475
,,205,15.2732,0,31.36,37.425
,,206,14.4888,0.0544647,31.395,36.85
,,207,0.3,0,26.25,31.6
,,208,2.15114,0,26.285,30.375
,,209,15.4974,0,31.36,37.275
,,210,14.7015,0.0246898,31.395,36.7
,,211,11.1976,0.00908496,31.78,32.325
,,212,2.15114,0,26.285,30.375
,,213,5.36739,0,26.985,26.7
,,214,16.2626,0.0375693,31.43,35.625
,,215,11.6615,0.0770182,31.815,31.25
,,216,11.4605,0.0534443,31.815,30.925
,,217,5.36739,0,26.985,26.7
,,218,4.96106,0,29.33,22.275
,,219,13.2712,0,32.48,28.65
,,220,12.8343,0.0395225,32.48,28.325
,,221,10.2905,0.101085,32.795,24.05
