Yoptimal_record,0.107992,0.0793895,0.306662,0.320456,0.1855,0.107992,0.0793895,0.306662,0.320456,0.1855,0.187382,0.306662,0.505956,0.494044,0.505956,0.01733,0.476714,0.505956,0.01733,0.476714,0.505956,0.345262,0.148782,0.505956,0.345262,0.148782,0.0459626,0.459993,0.345262,0.148782,0.0459626,0.459993,0.144278,0.349766,0.196351,0.263643,0.0459626,0.144278,0.349766,0.123667,0.0726839,0.309605,0.494044,0.123667,0.0115533,0.370736,0.460305,0.0337388,0.123667,0.0115533,0.370736,0.460305,0.0337388,0.123667,0.00722083,0.375068,0.460305,0.0337388,0.123667,0.00722083,0.344335,0.0307329,0.460305,0.0337388,0.123667,0.00722083,0.344335,0.0307329,,,,,
x,0.56,0.7,0.84,1.47,1.715,2.31,2.45,3.115,4.795,5.04,5.32,5.845,8.26,8.505,12.915,13.16,13.37,17.605,18.305,18.515,21.945,22.645,22.715,27.23,27.545,27.93,31.955,32.27,32.515,32.83,35.455,35.735,35.875,35.91,38.395,38.92,38.955,39.095,39.13,42.21,43.12,43.645,43.785,46.62,47.95,47.95,48.685,48.965,51.345,53.305,53.305,53.97,54.285,55.895,57.995,58.52,58.975,59.64,61.775,63.035,64.435,64.89,65.555,66.185,67.69,68.39,69.265,69.72,,,,,
y,32.8,28.125,26.15,8.425,7.925,47.65,42.975,40.775,1.2,0.7,47.55,47.325,2.4,48.6,6.225,48.725,47.625,5.875,47,45.9,5.6,47.05,42.225,4.575,48,41.65,2.975,2.975,45.275,43.75,2.7,4.5,46.775,44.525,5.7,2.325,0.525,43.275,41.025,9.9,7.45,4.075,42.85,13.15,7.35,6.55,48.275,43.775,16.7,9.175,8.375,48.6,37.225,25.575,13.825,7.6,45.275,35.875,32.175,14.125,5.75,5.3,39.125,36.6,34.5,24.025,21.875,21.425,,,,,
Attack2010Repeat1.txt,102.61,1166.5,1166.58,0.0812698,23,115,2.64764,2.55949,32.4415,10.7405,32.4415,10.7405,42.4285,12.8375,42.4285,12.8375,42.4285,12.8375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
radius,23.754,47.508,71.262,95.016,118.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activeArcs_record,0,2,8,12,21,51,61,66,97,98,103,107,108,142,146,147,149,153,185,190,193,195,236,239,241,284,287,328,334,377,383,422,423,426,466,469,475,476,514,515,517,521,558,561,563,564,606,609,610,613,650,656,661,699,705,710,744,745,747,751,786,790,791,794,827,834,837,843,868,882,885,900,909
C0a,21.0574,10.3611,10.6274,4.69308,3.50565,6.99811,11.0656,6.23982,7.15196,7.29513,14.8167,19.4901,8.96437,3.86207,5.87307,6.83205,8.87596,4.36038,5.52113,6.70452,7.40509,9.00316,5.00873,3.50612,2.88617,4.00944,3.05378,3.41315,4.04784,6.85328,3.04345,4.94899,9.70598,4.3736,6.34881,3.09458,2.19804,4.80418,2.18,2.75661,11.6047,7.78845,3.67418,4.07236,15.2569,10.0335,2.5773,12.109,12.6888,6.73573,5.00888,11.7552,3.65952,3.15159,7.26395,2.96985,5.37202,3.47794,3.47794,2.43805,3.95707,4.38567,5.98121,5.7717,23.5223,15.2964,17.1164,6.74855,10.2189,17.0432,4.08545,21.8449,41.0653
Yoptimal_record,0.00571429,0.489714,0.504571,0.00571429,0.489714,0.504571,0.00571429,0.489714,0.000857143,0.503714,0.00571429,0.183619,0.306095,0.000857143,0.343333,0.160381,0.189333,0.306095,0.000857143,0.343333,0.160381,0.495429,0.000857143,0.503714,0.495429,0.504571,0.495429,0.504571,0.495429,0.504571,0.495429,0.230032,0.27454,0.495429,0.230032,0.27454,0.314794,0.180635,0.228508,0.276063,0.314794,0.180635,0.228508,0.276063,0.370984,0.124444,0.504571,0.116127,0.254857,0.124444,0.504571,0.240571,0.254857,0.504571,0.240571,0.254857,0.106476,0.398095,0.240571,0.254857,0.106476,0.392381,0.00571429,0.495429,0.106476,0.392381,0.00571429,0.495429,0.106476,0.398095,0.495429,0.106476,0.398095
x,0.35,0.98,2.065,2.905,3.57,6.09,7.07,7.385,11.165,11.41,11.9,12.18,12.32,15.54,16.065,16.135,16.345,16.485,19.005,19.635,19.705,19.915,22.855,23.205,23.38,25.9,26.11,28.91,29.365,32.375,32.795,35.385,35.63,36.19,38.395,38.64,39.165,39.2,41.09,41.265,41.335,41.37,43.82,43.995,44.17,44.24,46.865,47.04,47.145,47.11,49.63,49.945,50.05,52.22,52.605,52.78,54.425,54.425,54.635,54.81,57.19,57.225,57.295,57.715,61.145,61.775,61.845,62.65,65.765,66.5,67.55,68.74,68.88
y,33.675,28.25,18.225,44.775,33.85,10.45,40.15,32.075,9.475,9.175,41.75,39.175,33.3,9.95,8.15,7.65,44.375,38.5,10.3,8.075,7.575,44.2,10.225,9.5,47.85,6.9,46.75,5.7,45.375,8.925,44.525,9.7,7.225,45.4,4.925,2.45,46.325,44.375,2.9,1.45,40.45,38.5,3.25,1.8,42.175,39.425,2.6,43.65,43.375,40.9,4.175,43.3,37.875,4.975,45.375,39.65,6.225,5.1,40.55,39.975,7.5,4.95,3.95,41.4,17.875,10.575,9.575,42.025,24.825,9.325,41.275,31.15,21.525
