Attack510Repeat1.txt,78.9674,78.9674,215.264,136.296,1,2,0.0214393,0.0116693,42.091,38.2,42.091,38.2,
radius,22.834,45.668,68.502,91.336,114.17,
activeArcs_record,5,35,78,127,168,204,
C0a,7.60345,11.5948,22.5285,13.8276,14.0983,9.31483,
Yoptimal_record,1,1,1,1,1,1,
x,6.335,14.525,28.07,42.07,54.18,64.925,
y,16.15,20.525,30.1,34.65,34.8,38.2,
Attack1010Repeat1.txt,96.5232,96.5232,357.264,260.741,1,2,0.0287135,0.0190436,26.464,44.125,26.464,44.125,
radius,23.236,46.472,69.708,92.944,116.18,
activeArcs_record,1,15,58,107,149,196,246,292,337,380,428,
C0a,8.49165,5.51406,6.99157,8.68093,5.78468,12.2688,5.1631,7.0287,8.63146,7.02033,20.948,
Yoptimal_record,1,1,1,1,1,1,1,1,1,1,1,
x,2.1,5.18,11.27,17.605,23.31,30.485,37.24,42.875,49.7,56.595,64.54,
y,39.475,44.425,45.825,43.275,39.325,42.9,48.2,47.875,44.125,40.575,30.05,
Attack1510Repeat1.txt,89.3085,89.3085,465.605,376.296,1,2,0.0313672,0.0172392,36.052,35.05,36.052,35.05,
radius,23.938,47.876,71.814,95.752,119.69,
activeArcs_record,5,37,86,128,173,214,256,302,348,395,444,486,532,578,624,664,
C0a,2.55977,6.59128,4.71968,8.48261,4.29535,6.14906,4.10202,6.17156,3.8513,5.25047,7.95063,4.79438,7.21543,4.20677,5.74087,7.22737,
Yoptimal_record,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
x,1.05,3.885,7.175,11.235,16.03,20.02,23.765,28.665,33.635,37.345,40.705,44.31,49.665,55.055,59.99,66.395,
y,16.75,20.325,24.925,30.125,33.85,31.875,30.325,31.7,32.25,34.225,32.5,30.125,32.8,34.6,35.05,35.85,
Attack2010Repeat1.txt,102.61,102.61,591.499,488.889,1,2,0.0323014,0.0134231,31.056,39.975,31.056,39.975,
radius,23.754,47.508,71.262,95.016,118.77,
activeArcs_record,6,42,91,132,175,224,265,306,349,398,439,481,526,569,618,661,710,751,794,843,885,
C0a,3.84401,4.73207,6.15939,4.0111,10.0721,4.89146,4.17653,2.89774,5.61346,4.32782,4.70877,2.18195,8.39901,8.43086,2.49046,3.65952,2.96985,2.43805,5.7717,6.74855,4.08545,
Yoptimal_record,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
x,1.61,5.425,9.905,14.07,18.34,22.19,24.745,27.195,30.52,33.81,36.785,39.375,41.405,44.485,47.46,50.05,52.78,54.81,57.715,62.65,67.55,
y,22,21.5,20,18.275,23.175,25.75,25.675,27.7,29.975,33.7,37.1,39.25,35.575,35.175,38,37.875,39.65,39.975,41.4,42.025,41.275,
